Label,Text
non_depressive,আমাকে দায়িত্ব দেন মিনিটে ঠিক করে দিব নাহ আমার পকেট থেকে সকল যাত্রী দের বর্তুকি দেব
non_depressive,ঘটনার তিব্র নিন্দা জানাই আসামিদের সর্বচ্ছো সাজা দেয়া হউক
depressive,"বাসের তলায় পিষছে মানুষ , হাসছে নরপিশাচ ! তিন তিনটা লাশ পরেছে খা কির পোলা আর কত লাশ চাস ? বিচার চাই পপাই"
depressive,ফসলের দাম নেই কিষান মান্ডি গুলো চালু নেই শূন্যপদে নিয়োগ নেই শিল্পে বিনিয়োগ নেই চাকরি নেই বাংলা আসলে গণতন্ত্র নেই ধিক্কার
non_depressive,তোমার মূল্য ততক্ষণ থাকবে যতক্ষণ তুমি রস এবং গন্ধ বিলাবে । অতপর তুমি আস্তাকুঁড়ে নিক্ষিপ্ত হবে 
non_depressive,এখন বাংলাদেশে শান্তিতেই আছি
non_depressive,সদ্য ভূমিষ্ঠ হওয়া সন্তানের মৃত্যুতে ২দিন ধরে কাঁদল মা তিমি : 
non_depressive,মহান আল্লাহ করে মানুষের কল্যাণে করে তাই একটাই দিয়েছিলাম।
depressive,ব্যাক্তিগত ইচ্ছার থেকে এখনে পরিবার আশেপাশের মানুষের কথায় আমরা বিকশিত হতে পারি
depressive,বাবু কেটেছে একেলা বিরহের বেলা আকাশকুসুম চয়নে । সব পথ এসে মিলে গেল শেষে তোমার দুখানি নয়নে । 
depressive,স্বার্থক জন্ম আমরা জন্মেছি দেশে রাস্তায় মানুষ মরে মন্ত্রী সাহেব হাসে হায় আফসোস সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
depressive,টেস্টে বাজে খেলায় খেলোয়াড়দের অশ্লীল ভাবে গালি দেয়া ছেলে মেয়ে গুলার মূখে এখন প্রসংশা ফুল ফুটে অদ্ভুত
non_depressive,আলহামদুলিল্লাহ সুস্থ আছি
non_depressive,কোরোনার টিকা দেওয়ার কোনো ইচ্ছা ছিলোনা প্রকার জোর করে দেয়ানো হয়েছে
non_depressive,আলহামদুলিল্লাহ মডানা ডোজ নিয়ে এখনও সুস্থ আছি ভালো রাখার মালিক আল্লাহ
non_depressive,পাচার বন্ধ করার জন্য তেলের দাম বাড়াতে হবে কেন প্রশাসন নাকে তেল দিয়ে ঘুমায়
non_depressive,অসাধারণ অসাধারণ অসাধারণ। এটাকেই বলে নাটক। নাটকের সবকিছুই ঠিক ছিল শুধু বৃষ্টির সিনটা একটু পারফেক্ট করা দরকার ছিল।
depressive,"জীবনে মোড় বাঁকুনিতে নতুনত্বের জয়ধ্বনিতে ! অতীতে যেসব স্থান ক্ষেত্রে সর্বদা দাপিয়ে বেড়াইতাম , এখন আর সময়ই হয় না সে সবে ছায়া মাড়াইতাম ! "
non_depressive,কোরআন এবং হাদিসের দিকে লক্ষ কোরুন সুন্দর ভাবে আমকে আপনাকে বুঝিয়ে দিয়েছে
non_depressive,এটাই সুযোগ যারা দেশের খেয়ে বনের মোষ তাড়াও তারা চলে যাও
depressive,বিষন্নতা কোনভাবেই আমার পিছু ছাড়ছে
depressive,কক্সবাজার পৌরসভা নং ওয়ার্ডে ভোটার হাজার নৌকা একা পেয়েছে হাজার
non_depressive,ইসলামের সঠিক জ্ঞান থাকার কারনে পরিস্থিতি।
depressive,সঠিক ভাবে কোন পাওয়া যায় না। সামান্য কিছু টাকা পেতে ব্যাংকে ধরনা দিয়েও কাজ না।
depressive,"এদের কাছে কোন জিনিস না নিয়ে যাবেন্নাহ , কেননা তারা ভাল জিনিস নিয়েই বসে অন্যদের মত ফরমালিন মিসিয়ে নয় কেহ টাকা কামাই করে বিক্রি করে আর কেহ জীবন বাচার জন্য করে "
depressive,ভয়ংকর রকমের মানুষ এরা
depressive,অপরাধীদের জনসম্মুখে ফাশি দেয়া হোক
depressive,রুচির দুর্ভিক্ষের কারনে পরিচিতি পাওয়া ইউটিমার।
depressive,এটা কোন দেশের নিয়ম অস্ত্র ঠেকিয়ে গুলি করে হত্যা করার হুমকি দিয়েছে। পুলিশ সেখানে করল।
non_depressive,বাজারে যেয়ে আণদআজই খবর।
non_depressive,অজানা অচেনা রাস্তায় চলতে গিয়ে নিরাশ হলেই তাকে উৎসাহ দেয় । 
non_depressive,সময়োপযোগী নিউজ করার জন্য ধন্যবাদ
non_depressive,বাংলাদেশ থেকে প্রত্যেক বছর কয়েকশো কোটি টাকা দেশের বাইরে চলে যাচ্ছে যার কারণে মুদ্রাস্ফীতি হচ্ছে।
depressive,আমি ইকবাল রোড বসবাস করি এরকম বেপরোয়া গাড়ি প্রতিদিনই চালায় কমবেশি দুর্ঘটনা প্রায় ঘটে কিন্তু এদেরকে কেউ কিছু বলতে পারে
non_depressive,সবাই পেঁয়াজের পরিমাণ কমিয়ে দেন
depressive,আমার ধারণা সত্য হলোআমার হার্ট সময় জ্বালা করে।অনেক ডাক্তার দেখালাম রোগ ধরতে পারছে না।
depressive,তিন সিটি করপোরেশন নির্বাচনে ব্যাপক অনিয়মে গভীর উদ্বেগ প্রকাশ সরকার ও সরকারের আজ্ঞাবহ নির্বাচন কমিশন তিনটি সিটি করপোরেশনের নির্বাচনকে ভোট ডাকাতি ও প্রহসনের নির্বাচনে পরিণত করেছে : ? 
non_depressive,তটিনীর অভিনয় খুব ভালোলাগেমনে শুধু তটিনী নিয়ে একটা নাটকের পৃথিবী গড়ি।
non_depressive,আমি জানি অনেকেই এখানে কমেন্ট পড়তে আসবে। তাদের উদ্দেশ্যে বলছি আমার একটা পুরাতন সাইকেল আছে বিক্রি করব
non_depressive,সবাইকে একটা করে বিয়ে করান তাহলে জামেলা শেষ হেড লাইন দেখে মনে হচ্ছে তাদের একার সমস্যা  মানে বানিয়ে লেখা বয়কট করছি
depressive,আমার মাথায় মৃত্যুর চিন্তা আসে
depressive,জুম্মা মোবারক নামাজের একটা সেল্পি সবাই লাইক কমান্ড কলেন
non_depressive,রাজনীতি দিক দিয়ে তাকালো মনে হয় বলল না।
depressive,ভাই মনে গরমে পাগল হয়ে নিজের মনভাব প্রকাশ করে ফেলসে।
non_depressive,আপনি যখন কোন ভালো কাজে মনোনিবেশ করবেন পাশ থেকে বন্ধু বা নিন্দুক বলবে এটা তুই করতেই পারবি না । মনের ভিতরে যে শয়তান থাকে সে তো আরও বলবে তুই এটা পারবি না । এটা ভেবে পিছিয়ে যাওয়া বড্ড বোকামি । মনের সাহসই বড় সাহস । তার সাথে আল্লাহর রহমত । এ দুটোই সংমিশ্রণ হলে সফলতা অবশ্যই আসবে
depressive,মাছমাংস খাওয়া হয়না আছেই ইফতারে ভালো কিছু খাবে তাও না। ঋণগ্রস্তদের অবস্থা আরো খারাপ। সময় উপযোগী সংবাদের জন্য ধন্যবাদ।
non_depressive,সকল অপরাধী ক্রসফায়ার করা হোক
non_depressive,বইয়ে আছে জেনেই উনারা মাঠে নেমে গেছেন।
non_depressive,বিষের চেয়েও বেশি বিষাক্ত একটা মানুষের মিথ্যা অভিনয় 
non_depressive,শেষ কিছুদিন নাটকটি কথায় অসাধারণ কথাই নাই
non_depressive,আমি প্রধান মন্ত্রী হলে আপনাকে আমার উপদেষ্টা হিসাবে রাখমুকারন এতো জ্ঞানী মানুষ এখন সহজে পাওয়া যায়না
non_depressive,চাকুরির পিছনে ছুটবেন ছোটো করে হলেও উদ্যোক্তা হোন। পরিশ্রম করুন সময় দিন ইনশাআল্লাহ সফল হবেন। চাকরি চাকর ব্যাবসায়ী মালিক
non_depressive,দেশের চিকিৎসা দালালীর অবস্তা তার চেয়ে এইটা ভাল
non_depressive,সকল কে জানাই ঐতিহাসিক মোহনবাগান দিবস এর সবুজ মেরুন শুভেচ্ছা এবং আন্তরিক অভিনন্দন । জয় মোহনবাগান 
non_depressive,নিচি আলহামদুলিল্লাহ সুস্থ আছি
depressive,ছিঃ এভাবে টাকা খেয়ে নিজের মাতৃভাষার বদলে অন্যভাষা প্রচার করা ? ধীক্কার জানাই কে । বাংলা খেয়ে হিন্দির প্রচার : 
depressive,হ্যাঁ এটা একটা খুব ভয়াবহ রোগ আমিও রোগে আক্রান্ত ছিলাম উপর আল্লাহর অশেষ রহমতে আমার ফ্যামিলির সাপোর্টের মাধ্যমে আমি এখন অনেকটাই সুস্থ
non_depressive,"সিলেটে পাঠানটুলা জামেয়া কেন্দ্র পুলিশের সহায়তায় দখল ! ছাত্রশিবিরের বিক্ষোভে পুলিশের গুলি । রেজাউল ও মামুন নামে দুজন ভাই গুলিবিদ্ধ । অনেকে আহত । আল্লাহ হেফাজত করুন , আমীন । "
depressive,গণতন্ত্রের লেবাছ হলো জনগণ সকল ক্ষমতার উৎস । আর ভিতরটা হলো শাসক সকল ক্ষমতার উৎস । 
non_depressive,ইসলামের ছায়াই জীবন পরিচালনা করলেসবাই পরিবার পরিজনকে ভালোবাসতে শিখেবিচ্ছেদ মতো পাপ থেকে দূরে রাখে
non_depressive,কথা আমার অনেক আগেই আমাকে জানিয়ে দিয়েছে জন্যই টিকা দেইনি।
non_depressive,এসব বাদ দেনরিজিকের মাধ্যম হিসেবে অন্য রাস্তা অবলম্বন করুন
depressive,লেখাটি পড়ে আমার মনে হচ্ছে অত্যন্ত দুখজনক ঘটনা ঘটেছে। আসুন দেশটাকে গিলে খাই ভাত উপর চাপ কমাই
non_depressive,বাংলাদেশ নতুন মন্দির বানানো হচ্ছে নাকি
depressive,আজকাল কোন নাটক কোন টেলিফিল্ম কোন ওয়েব ছিরিজ বুঝার খমতা নেই
depressive,সব থেকে বিরক্তিকর ব্যাপার হচ্ছে যখন ঘুম থেকে উঠে বুঝতে পারলাম আমার প্রচন্ড মাথা ব্যথা এই মাথা ব্যথা নিয়ে পড়ছি শত ঝামেলায় এখন ট্যাবলেট টা খেয়ে ঝিম মেরে শুয়ে থাকবো বিদায় পৃথিবী 
non_depressive,খুবই ভালো চিকিৎসা। বাংলাদেশের মানুষের জন্য উপযুক্ত চিকিৎসা যারা রাস্তার ধারে প্রশ্রাব করে ময়লা ফেলে ড্রেন বন্ধ করে ছোটখাট বিষয়ে চিৎকার ঝগড়া করে।
depressive,মায়ের থেকে মাশির দরদ বেশি
depressive,এমন সম্পদ বাবা রেখে যায়নি তাই বাবার বেহেশত নসিব কামনা করছিবাবা ভালো থেকো ওপারেসম্পদ থাকলেও এখনো তোমাকে আগের মতো ভালোবাসি বাবা
depressive,কিসের এতো ভয় বলো যেখানে ভালোবাসা শূণ্যতার উপর দাঁড়িয়ে সেখানে তোমাকে হারানোর ভয় বোকামী শুভ সকাল
non_depressive,সকল নাট্যকার মধ্যে সেরা জুটি ইয়াস রোহান তটিনী পুরো নাটক দেখলাম অনেক সুন্দর হয়েছে
depressive,নামের কষাই হাত থেকে রক্ষা পেতেই আগের চিকিৎসা পদ্ধতিতে ফিরে যেতে হব।
non_depressive,এখন পর্যন্ত আমার দেখা সবগুলো ভিডিওর মধ্যে এটার গ্রাফিক্স এবং এডিটাংটাই সবচেয়ে সুন্দর এটাই সবচেয়ে অসাধারণ
non_depressive,"এই সমাজের মানুষগুলা বড্ড বেশী স্বার্থপর । প্রয়োজনে সবাই কাছে আসে , প্রয়োজন ফুরিয়ে গেলেই সবাই চলে যায় ! "
non_depressive,এখন আন্তরার সাথে তালাক হওয়ার ভিডিও টার জন্য আপেক্ষা করতে আছি
depressive,মুসলমান ছাড়া মুসলমানদের বন্ধু কেউ হতে পারেন না
depressive,জামায়াত কেন্ যে রাজশাহী অার বরিশালে তাদের প্রার্থী দিলো না তাহলে নিশ্চিত বিএনপি অারো ২টি মেয়র পেতেন 
depressive,এই ফালতু আধার ফাধার হ্যাক না করে প্যারাডাইসের ডাব শরবতের রেসিপি হ্যাক করুন দিকি
depressive,ভালোবাসায় গভীরতা থাকলে অভিমানের গভীরতা পরিমাপ করা যেত অভিমানের গভীরতা মনে থাকলে ভালোবাসার গভীরতা কখনোই বুঝা যেত না।
non_depressive,দিনের মধ্যেই ইন্ডিয়া থেকে পেঁয়াজ বাংলাদেশে ঢুকবে।
depressive,পরিবার আপনজনবন্ধু এরাই মূলত ডিপ্রেশন রোগী বানিয়ে দেওয়া মূল হাতিয়ার তারা কিভাবে ডিপ্রেশন দূর করতে সাহায্যে করবে
depressive,কমেন্ট করে গেলাম অনেক বছর কেউ এসে লাইক দিলে বুঝতে পারবো নাটকটি আমি তাগড়া যোয়ান বয়সে দেখেছিলাম আবার ফিরে এসে আপসোস নিয়ে চলে যাবো আমিতো এখন যোয়ান নেই।
depressive,শেষ পর্যন্ত চোখের পানি ধরে রাখতে পারলাম কোনো সম্পর্কের সম্পৃক্ততা বৃষ্টির সাথে হোক
non_depressive,এসব নিউজও করতে আরটিভিকে
non_depressive,মালুদের ওপার নিয়ে যাওয়ার দাবী জানাই
non_depressive,বাংলাদেশে চিনের ভ্যাকসিন ঐটার নাম ছিলো
depressive,সমস্ত দ্রব্যের দাম অনেক বেশি তাদেরকে বর্জন করা হোক দাম কোমে জাবে।
depressive,যায় দিন যায় রাত থাকি দিশেহারা তরে ছাড়া বড় একা একা লাগে তরে ছাড়া 
non_depressive,অসংখ ধন্যবাদ সময় টিভি
non_depressive,নদীর কূল কহে ছাড়িয়া নিঃশ্বাস ওপারেতে সুখ আমার বিশ্বাস নদীর ওপার দীর্ঘ নিঃশ্বাস ছাড়ে
depressive,মৃত্যু পর্যন্ত চলতে থাকবে তার অসীম আকাঙ্ক্ষার
non_depressive,আল্লাহ পাক যেন সুস্থ রাখেন আমীন
depressive,তোমাদের প্রতিযোগিতার ফলাফল হিসেবে আমরা আমাদের মৃত্যু মেনে নিয়েছি ! 
depressive,আমাদের দেশে ব্যাপারে অনেক সচেতনতা দরকার। অনেক মানুষের প্রাণ বাঁচবে
depressive,আমি যদি খাইতে পাইলাম তবে সমাজের উন্নতি দিয়ে করবো বিড়াল
non_depressive,উন্নয়নের দরকার নেই বাজারে দ্রব্রুমূল্যের দাম দাম কমানো হক।সাধারণ মানুষের দাবি।
depressive,ডিপ্রেসন আমার লাইফ শেষ করে দিচে
depressive,লাভ যাকে কোন দিনই পাবো তার জন্য অপেহ্মা করে
non_depressive,যে মানুষ চুষে খাওয়া চকলেট চিবিয়ে খেয়ে ফেলে তার কাছে ধৈর্য প্রত্যাশা করাটা সত্যিই মূর্খতার নামান্তর
non_depressive,লোকটাকে আইনের আওতায় এনে বিচার করা হোক
depressive,আমার মেয়ের জন্য একটি সুন্দর নাম দিন । অর্থসহ । টিভি চ্যানেলের জন্য নাম দিন । অমুক প্রতিষ্ঠানের জন্য নাম দেন । ইত্যাদি ইত্যাদি । অনেককেই দেখেছি ফেসবুক টুইটারে নাম চায় । এদেরকে আমার গাধা বলে মনে হয় । 
non_depressive,অসাধারণ উপস্থাপনা। দুজনের অভিনয়ের কোন খামতি নজরে পড়ল না।
non_depressive,"যে মাঠে গান্ধী জি , রবীন্দ্রনাথ , নেতাজী স্পর্শ আছে , যে মাঠ বিপ্লবীদের স্পর্শে ধন্য , সেই মাঠ কে কলংকিত করেছেন মোদী মানস ভূঁইয়া"
depressive,কিছুদিন আগে আমি ভাবতাম জীবনের সমস্যার সামনে আমি কিভাবে সম্মুখীন হতে পারবো। আমি এখন বুঝতে পারছি সেটা হলো কীভাবে হবে।
depressive,"আমরা মেয়ের ইচ্ছা পূরণের জন্য যা কিছু দরকার তাই করার চেষ্টা করতেছিলাম । কিন্তু , আমাদের সব আশা ধূলায় মিশে গেলো । : "
depressive,অঙ্কটা আজও মিলে নাই।
non_depressive,খুনিদের ফাঁসির জোর দাবী জানাচ্ছি
non_depressive,নাচের কথাটা বলতেই কাঁচা বাদামের পোজটা দিলেন
non_depressive,উচ্চ শিক্ষিত হওয়া দেশে বড় পাপ।
depressive,ভাই বর্তমানে লক্ষ্য লক্ষ্য পরিবারের এমন অবস্থা সারা দেশে।
depressive,আমার কিছুই ভালো লাগেনা শুধু একা থাকতে ভালো লাগে কোথাও দূরে হারিয়ে যেতে মনচায়
depressive,হাড্ডি কখনো গোস্ত বাঙ্গালী কখনো মানুষ না৷
depressive,আমি দেখেছিলাম তাকে শাড়িতে।মন ভরে দেখতেও পারিনি তাকে তবে আমি ফ্রেম বন্ধি করতে পারিনি। পারিনি তাকেও আমার করতে। পেলাম তার থেকে কষ্ট অবহেলা।
depressive,কৃষিকাজই আমাদের ভবিষ্যৎ মনে হচ্ছে।
depressive,শান্ত বুকের তপ্তক্ষুনে শক্তমাটি রক্তলাল মজলুমানের আর্তনাদে আরশে আজিম কম্পমান মানবতা দূর্বিপাকে আবাসভুমি ঘোর শ্মশান
non_depressive,খুশি হলাম শ্রীরাম
non_depressive,টিভি ভিউর জন্য এসব পোস্ট করে
non_depressive,", অন্তরে যার নাম লিখেছি প্রেম এঁটেছি খামে ! হাজার স্তুতি কাব্য পাঠাই সেই সে মহান নামে ! অঙ্গেও তার রঙ মেখেছি পণ করে নিজ দাঁতে ! তার কবিতায় সুর তুলে যাই রোজ প্রতি সিজদাতে ! "
depressive,প্রতিটি কৃষক বাজারে ব্যাঙ্কের শাখা খোলার কথা ছিল । একটিতেও হয়নি । সরকারের সাইকেলসহ নানা জিনিস লাট হয়ে পড়ে থাকে কৃষক বাজারগুলিতে । প্রায় কোন কৃষক বাজারেই কৃষকরা ফসল নিয়ে বিক্রি করতে যান না । অর্থাৎ পুরো প্রকল্পটিই অর্থহীন হয়ে গিয়েছে । টাকা জলে গিয়েছে । ২ ২ 
depressive,মায়ের থেকে মাশির দরদ বেশি
non_depressive,ভালো ভালো চিকিৎসা টাইগার সাব মেডিকেলে নিয়ে গিয়ে থেকে শিক্ষা নেওয়া হোক চিকিৎসকদের
non_depressive,আত্মার সম্পর্ক মাঝে মাঝে রক্তের সম্পর্কেও অতিক্রম করে যায় 
non_depressive,আল্লাহ মালিক লোকটাকে সুস্থ করে দেন আমীন
non_depressive,বলা অনেক সহজ কিন্তু বাস্তবে অনেক কঠিন থেকে বের হওয়া।
non_depressive,এতোদিনে ভালো একটা নিউজ করলেন
non_depressive,বাংলাদেশের সমাজে সাধারণ নাগরিকদের শিক্ষার দৈন্য মানবতাবোধের অভাব সর্বত্র প্রকট
non_depressive,আপনাকে ভালো লাগছে
non_depressive,আল্লাহর রাস্তার চেয়ে ভালো রাস্তা নেই।
depressive,ছিড়া সাধারণ মানুষের জন্য বিব্রতকর
depressive,"জীবনকে এক পেয়ালা চায়ের সঙ্গে তুলনা করা যেতে পারে । যতই তৃপ্তি সহকারে আমরা তা পান করি , ততই দ্রুত তলার দিকে অগ্রসর হতে থাকি । "
depressive,আমিও সুইসাইড করতে চাই।এটাই লাইফের মুক্তি
non_depressive,অভিনন্দন এ এইচ এম খায়রুজ্জামান লিটন ভাই ; নবনির্বাচিত নগর পিতা রাজশাহী সিটি কর্পোরেশন । অভিনন্দন সেরনিয়াবাদ সাদিক আবদুল্লাহ নবনির্বাচিত নগর পিতা বরিশাল সিটি কর্পোরেশন । অপেক্ষায় বদর উদ্দিন আহমেদ কামরান । 
non_depressive,ভাগ্যিস আমি এখনো একটা টিকা নেই
non_depressive,সবচেয়ে বড় সমস্যা হচ্ছে চাকুরীর জন্য চায় অভিজ্ঞতা। যেইটা আমি মনে করি সবচেয়ে বড় ফাঁদ।
depressive,হয়রে মানুষ হায়রে মানুষের বিবেক বিচার
non_depressive,"যৌতুকের জন্য যদি স্ত্রীকে পেটানো হয় তাহলে , দেনমোহরের জন্য স্বামী কেও পেটানো উচিত । কে কে আমার সাথে একমত ? আপনাদের মতামত আশা করছি "
non_depressive,বউ হবে বউয়ের মতো । বাসর রাতে দরজা বন্ধ করে একসাথে সিগ্রেট টানবো । আমি ওর মুখে ধোয়া ছুড়ে দিবো আর ও আমার মুখে । এক্কেবারে ভালোবাসায় ঠাসাঠাসি
depressive,আমিও এরকম একটি বৃষ্টির দিনের জন্য অপেক্ষায় থাকব
non_depressive,এমন ভিউ ব্যবসায়ীদের বিশ্বাস করাই ভুল। কোনটা আসল কোনটা নকল এটাই বুঝিনা।পরে আমাদের মতো সহজসরল মানুষেরা ধোকা খাই
depressive,মানব তোমার কাফনের কাপড় বাজারে এসে গেছে তুমি এখনো বেখেয়াল
non_depressive,তোমাগো দেশ হয়ে জনগনেই ভালো যানে।
depressive,"আমার একদিন প্রচুর টাকা হবে , কয়েকশ প্রেম কিনবো দু , চারটে প্রেমিকা বন্ধুদের গিফট করবো শুভ রাত্রি ওসমান গনি "
non_depressive,জীবন প্রথম রকম চিকিৎসা দেখলাম।
depressive,চিকিৎসা করা ব্যয়বহুল তাই চিকিৎসা করতে পেরে সাধারণ মানুষের অবস্থা
depressive,ভালোবাসা বাসি না করে কতক্ষণ হাল চাষ করালে বরং বেটার হয় ! বিরোধী কেউ থাকলে ম্যানশন করুন 
depressive,আল্লাহ বৃষ্টিটা একটু থামাও সবার ঘরে নাই
non_depressive,সরকারের দরকার বাড়িটা খুব যত্ন হবে রাখার যাতে কেউ যাতে এটার উপর আঘাত করে বাংলাদেশে ইতিহাসের কিছুই থাকে
depressive,আমি সময় অনুমান করি কেউ আমাকে ভালোবাসে এবং আমি হারিয়ে যাচ্ছি।
depressive,হতাশা থেকে বাচার উপায় বিধাতাকে স্মরণ রাখা। নামাজ পড়া ধর্মীয় বিধিনিষেধ মেনে চললে হতাশা ঘিরে ধরবেনা।
non_depressive,ভদ্র হয়ে বিপদে পরলাম কাউকে তার প্রাপ্প গালিটুকুও দিতে পারি
non_depressive,কিছু কাজকে ছোটো করে দেখা রিস্ক নেয়ার প্রবণতা থাকাও বেকারত্বের কারণ।
depressive,সঠাৎ কইরা আমার চেহারা কালা হইয়া গেছে থুতু দেশের কয়লা আবার উড়ে উড়ে চেহারায় পড়ে নাই সন্দেহ লাগতেছে
non_depressive,ক্ষমতা চিরদিন সবার থাকে না। ফুরিয়ে যায়
depressive,কেউ কোনদিন বকবে আমাকে মায়ের সেই ভালোবাসা বাবার সেই সুপরামর্শ ঠাম্মার সেই আদর পাবো
non_depressive,এইসব ফালতু নিউজ কেন দেন থেকে অনেক গুরুত্বপূর্ণ নিউজ আছে।এরা মরে চুলোয় যাক।
non_depressive,স্বার্থক জন্ম আমরা জন্মেছি এই দেশে রাস্তায় মানুষ মরে আর মন্ত্রী সাহেব হাসে হায় আফসোস
non_depressive,প্রিয় মানুষের ভালোবাসা সুন্দর
depressive,কিসের যেন একটা অভাব দেহের ভিতর বসবাস করছে । মাঝে মাঝে অনেক ভাবি কী হতে পারে এটা । ভেবেও কোন কূলকিনারা পাইনা ! 
non_depressive,আসামে বাঙালি খেদাও চলছে : এনআরসি র রিপোর্ট নিয়ে কেন্দ্রকে তোপ মুখ্যমন্ত্রীর : 
non_depressive,সেই ভাইরাল ডায়লগ তখন আমার আবেগে কাজ করছে বিবেগে কাজ করে নাই
depressive,বাবা বেচে নেই আমার কলিজা ফেটে যায় বাবার জন্য বলবো জানি
depressive,আমি কান্না করতে চাই কিন্তু শেষ পর্যন্ত কান্না করে থাকতে পারলাম নাটকটা অসাধারণ হয়েছেধন্যবাদ এরকম একটা নাটক উপহার দেওয়ার জন্য
depressive,শ্রাবণ ধারায় এতো চেনা কি খুঁজে পাও ? যা আমার মাঝে নেই একবিন্দু পরিমাণও আমার সরল রেখায় চিন্তা ধারায় আড়াড়ি করে দাগ কাটো কেনো ? নাকি কাঁদিয়ে আমাকে সেই চোঁখের জলে ভেজো ! তৃষ্ণার্ত হৃদয়ে শুধুই আমি মরীচিকার মতোই
depressive,টেস্টে বাজে খেলায় খেলোয়াড়দের অশ্লীল ভাবে গালি দেয়া ছেলে মেয়ে গুলার মূখে এখন প্রসংশা ফুল ফুটে অদ্ভুত
non_depressive,বর্তমানে গ্রামের মানুষরাই সুখে শান্তিতে আছে৷
depressive,মানুষ বাঁচলে উন্নয়ন নিয়ে হবে
depressive,আমার মনে হয় আমি অবাক অবস্থানে রয়েছি নিরাপদ নয়।
non_depressive,এরা বলে নিজেরাই জানে না।পাচার বন্ধ করে।দাম বারালে সমাধান হবে
depressive,নাটক তার মায়ায় ফেলে দিলো সত্যি খুব ভালো লেগেছে শেষ অনুভব করতে পারবে তারা যারা প্রিয় মানুষ হারিয়েছে
depressive,সবাই ডিশের লাইন কেটে দিয়ে বিটিভি দেখুন বছর বাতাবিলেবুর ফলন অনেক ভাল হয়েছে সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,এটা নিউজ চ্যানেল মিউজিক ভিডিওর
non_depressive,আলহামদুলিল্লাহ একটা টিকাও নেইনাই।আল্লাহর রহমতে অনেক ভালো আছি।
depressive,আমি সময় অনুমান করি আমি নিজের সাথে সন্তুষ্ট নই।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো
non_depressive,উন্নয়ন হচ্ছে। তাই উন্নয়ন খেয়ে বেঁচে থাকতে হবে।
non_depressive,মাঝে মাঝে মধ্যে মনেহয় আমরা এখোনো পরাদিন।
depressive,টেস্টে বাজে খেলায় খেলোয়াড়দের অশ্লীল ভাবে গালি দেয়া ছেলে মেয়ে গুলার মূখে এখন প্রসংশা ফুল ফুটে অদ্ভুত
non_depressive,নির্দিষ্ট স্থান এবং পার্কিং ছাড়া রাস্তায় দাঁড়ানো নিষিদ্ধ করা হোক রাস্তায় গাড়ি দাঁড়ালে মোটা অংকের জরিমানা করা হোক
depressive,ভাই আপনি বেকার সমস্যার আসল কারণ গুলোই তুলে ধরলেন না।
non_depressive,দেশের জনগন চায় চায় এটা সরকারের জানা উচিত
